Date,NAV_Soybean_Futures_6M,Log_Return_Soybean_Futures_6M,Contract_Price,Days_to_Expiry,Roll_Date
2005-01-03,100.0,,5.400084164763871,71,False
2005-01-04,98.01636044044874,-0.02003577798111136,5.292965959022551,70,False
2005-01-05,98.37830042475876,0.0036858475935740605,5.312511022801226,69,False
2005-01-06,99.39344504697684,0.010265910686053656,5.367329686795076,68,False
2005-01-07,101.19968294454978,0.01800945760285553,5.464868053479877,67,False
2005-01-10,102.33403639861206,0.011146705350766886,5.526124094725146,64,False
2005-01-11,101.33921317264297,-0.009768893455458248,5.472402803232196,63,False
2005-01-12,99.55718504147603,-0.017741232675896498,5.376171784309413,62,False
2005-01-13,100.0651637831348,0.005089408486822978,5.403603063898096,61,False
2005-01-14,96.8830252776086,-0.03231728577804642,5.231764906360321,60,False
2005-01-17,96.84887007942484,-0.00035260273972620296,5.229920496911757,57,False
2005-01-18,95.72199382548406,-0.011703630485737788,5.169068230766217,56,False
2005-01-19,96.4853959310005,0.007943566797491723,5.210292586979684,55,False
2005-01-20,97.50781152921203,0.010540833653155293,5.265503889796782,54,False
2005-01-21,96.28672053574725,-0.012602080572450585,5.199563948421332,53,False
2005-01-24,96.85837775606366,0.0059194760272941495,5.230433919452367,50,False
2005-01-25,97.96848558627212,0.01139596280607234,5.290380676603258,49,False
2005-01-26,97.40340520984942,-0.005784680179635986,5.259865860677867,48,False
2005-01-27,96.04919317695077,-0.014000681976575679,5.18673727113198,47,False
2005-01-28,95.72263140731178,-0.0034057358112645313,5.169102660721532,46,False
2005-01-31,95.82927053514625,0.001113422918487265,5.174861263377164,43,False
2005-02-01,94.25546350229641,-0.0165593834126059,5.089874359012299,42,False
2005-02-02,93.90977052081018,-0.0036743596362200453,5.071206647060362,41,False
2005-02-03,93.31774080208857,-0.006324195496110871,5.039236543968979,40,False
2005-02-04,92.84611725506164,-0.005066768178463263,5.01376847548868,39,False
2005-02-07,93.1436098359172,0.0031990243677873513,5.029833325238808,36,False
2005-02-08,93.55094544200807,0.00436366504468745,5.051829790800766,35,False
2005-02-09,94.89072516814144,0.014219809210347295,5.124179023634411,34,False
2005-02-10,95.85778152728675,0.010139682468762885,5.176400880948958,33,False
2005-02-11,97.65879972533271,0.018614117594396972,5.2736573794661545,32,False
2005-02-14,99.4884803376283,0.018562093743479946,5.372461672476483,29,False
2005-02-15,99.38759759176679,-0.0010145288017021524,5.367013919292236,28,False
2005-02-16,99.32789558988804,-0.000600879203922854,5.363789960942735,27,False
2005-02-17,102.47579839151994,0.031200203490677772,5.533779361655817,26,False
2005-02-18,102.55948825686922,0.0008163460189222393,5.538298684822055,25,False
2005-02-21,102.5299048144848,-0.00028849315068484564,5.536701154034462,22,False
2005-02-22,107.06987937763023,0.0433271892805752,5.781863601503187,21,False
2005-02-23,107.22404784408096,0.001438850788235556,5.790188828447052,20,False
2005-02-24,105.93467338903001,-0.012097935037585387,5.720561522675336,19,False
2005-02-25,111.61887831108858,0.05226758078947401,6.027513372564149,18,False
