Date,NAV_sp500_futures,Log_Return_sp500_futures,Contract_Price,Days_to_Expiry,Roll_Date
2005-01-03,1000.0,,1207.6208276209804,74,False
2005-01-04,988.1486369294586,-0.011922150313273552,1193.3088747412964,73,False
2005-01-05,984.5042223037432,-0.0036949418190495398,1188.907803734796,72,False
2005-01-06,987.8959831076003,0.003439225100233444,1193.0037647238423,71,False
2005-01-07,986.4035346845054,-0.0015118766873293838,1191.201452923963,70,False
2005-01-08,986.3441270551664,-6.022831050231192e-05,1191.1297110334535,69,False
2005-01-10,989.6372792388441,0.003333184433952846,1195.1065901989882,67,False
2005-01-11,983.5055737534973,-0.006215186309771249,1187.7018149460455,66,False
2005-01-12,987.379421100289,0.003931079028533759,1192.3799536850554,65,False
2005-01-13,978.8676435291505,-0.008657946292153888,1182.1009538100714,64,False
2005-01-14,984.684656483911,0.005925006400123087,1189.125699808781,63,False
2005-01-15,984.6240035756559,-6.159817351578035e-05,1189.0524540935164,62,False
2005-01-17,984.5027089668952,-0.0001231963470320142,1188.9059761976987,60,False
2005-01-18,993.9984531057551,0.009599000731375814,1200.3732345935457,59,False
2005-01-19,984.3164066907151,-0.009788253543129366,1188.6809936887503,58,False
2005-01-20,976.6895031422789,-0.007778601754010958,1179.4705861134023,57,False
2005-01-21,970.3803965765002,-0.006480639085278965,1171.8515776208876,56,False
2005-01-22,970.3214222815207,-6.077625570774988e-05,1171.780359033976,55,False
2005-01-24,966.780814521558,-0.003655575462692462,1167.5046473606087,53,False
2005-01-25,970.6346127178037,0.003978293168146628,1172.158574327843,52,False
2005-01-26,975.3309109565942,0.004826711777964339,1177.8299218937261,51,False
2005-01-27,975.7487698858679,0.00042833610514781995,1178.3345370397246,50,False
2005-01-28,973.1536138757982,-0.0026631991069083908,1175.2005725910387,49,False
2005-01-29,973.0886058309038,-6.680365296805517e-05,1175.1220675220613,48,False
2005-01-31,981.2148379395239,0.008316291893293647,1184.9354746665133,46,False
2005-02-01,987.787962488082,0.006676627341332451,1192.8733167738988,45,False
2005-02-02,990.7317149628234,0.0029757142984266566,1196.4282535737573,44,False
2005-02-03,988.1636577667762,-0.0025954466042480157,1193.3270142172887,43,False
2005-02-04,999.0319754333568,0.010938456034027943,1206.4518209926525,42,False
2005-02-05,998.9644176101384,-6.762557077619965e-05,1206.3702367582653,41,False
2005-02-07,997.7309644233134,-0.0012354947628205567,1204.8806929999598,39,False
2005-02-08,998.124563578634,0.0003944164844608541,1205.356011537659,38,False
2005-02-09,989.5193233504397,-0.008658788477419124,1194.9641442114096,37,False
2005-02-10,993.6295219280072,0.004145129572603561,1199.9277056193382,36,False
2005-02-11,1000.4337734336318,0.006824535540097829,1208.1446614539018,35,False
2005-02-12,1000.3663948891761,-6.735159817351697e-05,1208.0632937202822,34,False
2005-02-14,1000.9374818449813,0.0005707149003659688,1208.7529502224952,32,False
2005-02-15,1004.1894887614854,0.0032436946044043873,1212.680141506433,31,False
2005-02-16,1004.2622853596706,7.249026255450795e-05,1212.7680521945815,30,False
2005-02-17,996.2544243228613,-0.008005835461334895,1203.097592421836,29,False
2005-02-18,996.8918419765783,0.0006396095321506285,1203.867351256358,28,False
2005-02-19,996.8244288762128,-6.762557077631069e-05,1203.785941792302,27,False
2005-02-21,996.6896163512594,-0.00013525114155247154,1203.6231393793441,25,False
